country,Ladder,SD of Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,"Log of GDP
per capita","Healthy life
expectancy",year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians,GDP/C,life_expectancy_mean,Latitude,Longitude,continent
Guinea,118,146,82.0,143.0,136.0,109.0,70.0,94.0,130.0,137.0,2019.0,12414318.0,2.83,43.85,2.93,10208.0,8.2,4.5,2.2,5.5,61.67,60.48,,,176.0,1.4,65.7,,,0.1,822.2763425264279,61.075,10.7226226,-10.7083587,Africa
Georgia,119,51,141.0,43.0,147.0,104.0,28.0,153.0,87.0,84.0,2019.0,3726549.0,-0.04,19.8,14.87,15159.0,4.8,11.6,3.8,8.4,77.99,69.17,,,80.0,0.4,12.9,,,5.1,4067.8386356921646,73.58,32.3293809,-83.1137366,Asia
Gambia,120,142,29.0,109.0,125.0,89.0,26.0,64.0,139.0,130.0,2019.0,2280102.0,2.95,44.27,2.59,1489.0,4.6,9.4,3.1,4.4,63.15,60.36,,,174.0,1.9,49.8,,,0.1,653.0409604482606,61.754999999999995,13.470062,-15.4900464,Africa
Kenya,121,118,59.0,46.0,123.0,72.0,105.0,26.0,122.0,106.0,2019.0,51393010.0,2.31,39.78,2.34,74938.0,4.9,11.4,5.2,4.5,68.68,63.96,,,292.0,4.7,41.6,,,0.2,1458.1360383445142,66.32000000000001,1.4419683,38.4313975,Africa
Mauritania,122,68,94.0,58.0,99.0,151.0,67.0,148.0,117.0,120.0,2019.0,4403319.0,2.78,40.08,3.14,4992.0,3.5,9.9,2.6,4.2,66.29,63.08,,,93.0,0.2,58.9,,,0.2,1133.6902913461413,64.685,20.2540382,-9.2399263,Africa
Mozambique,123,154,108.0,131.0,122.0,46.0,40.0,121.0,146.0,134.0,2019.0,29495962.0,2.91,44.67,2.89,12652.0,3.7,24.8,6.5,5.1,62.97,57.11,,,551.0,12.6,62.8,,,0.1,428.94006983057545,60.04,-19.302233,34.9144977,Africa
Tunisia,124,79,147.0,132.0,121.0,143.0,101.0,144.0,84.0,67.0,2019.0,11565204.0,1.15,24.17,8.32,40069.0,2.0,15.1,6.6,7.0,78.54,74.49,,,35.0,0.1,14.6,,,1.3,3464.6167936164375,76.515,33.8439408,9.400138,Africa
Bangladesh,125,52,145.0,68.0,126.0,27.0,36.0,107.0,119.0,90.0,2019.0,161356039.0,1.05,27.71,5.16,245633.0,7.3,4.4,1.5,2.4,74.29,70.64,,,221.0,0.1,33.2,,,0.5,1522.304349575661,72.465,24.4769288,90.2934413,Asia
Iraq,126,147,151.0,154.0,124.0,130.0,66.0,73.0,64.0,107.0,2019.0,38433600.0,2.32,38.39,3.32,182024.0,1.0,8.3,4.496969696969698,3.3,72.49,68.43,,,42.0,,28.5,,,0.8,4736.064277090879,70.46000000000001,33.0955793,44.1749775,Asia
Congo (Kinshasa),127,78,125.0,95.0,107.0,125.0,106.0,127.0,149.0,140.0,2019.0,84068091.0,3.23,46.17,3.02,37642.0,3.7,3.7,1.5,3.9,61.9,58.85,,,321.0,0.8,73.1,,,0.1,447.7560933315353,60.375,-2.9814344,23.8222636,Africa
Mali,128,96,48.0,122.0,112.0,110.0,107.0,138.0,129.0,142.0,2019.0,19077690.0,3.01,47.54,2.51,15236.0,6.9,8.1,3.1,3.8,59.65,58.14,,,53.0,1.4,78.5,,,0.1,798.6291841412666,58.894999999999996,16.3700359,-2.2900239,Africa
Sierra Leone,129,153,139.0,149.0,135.0,116.0,112.0,79.0,145.0,146.0,2019.0,7650154.0,2.14,41.06,2.97,3740.0,3.8,4.2,4.6,16.5,55.11,53.47,,,298.0,1.5,97.1,,,0.0,488.879047402183,54.29,8.6400349,-11.8400269,Africa
Sri Lanka,130,91,32.0,81.0,80.0,55.0,111.0,35.0,79.0,54.0,2019.0,21670000.0,1.05,24.2,10.47,87357.0,3.3,4.2,2.8,3.9,80.12,73.42,,,64.0,0.1,8.8,,,1.0,4031.2413474850023,76.77000000000001,7.877395849999999,80.66247852355892,Asia
Myanmar,131,70,45.0,86.0,96.0,29.0,24.0,1.0,106.0,110.0,2019.0,53708395.0,0.61,26.37,5.78,67102.0,6.8,0.8,2.2,5.1,69.87,63.76,,,338.0,0.8,43.7,,,0.9,1249.376377752491,66.815,17.1750495,95.9999652,Asia
Chad,132,139,136.0,151.0,141.0,142.0,80.0,106.0,133.0,148.0,2019.0,15477751.0,3.02,47.13,2.48,10717.0,-3.1,5.9,2.9,4.5,55.4,52.58,,,142.0,1.3,84.1,,,0.0,692.4132582311216,53.989999999999995,15.6134137,19.0156172,Africa
Ukraine,133,69,131.0,44.0,56.0,141.0,143.0,66.0,94.0,87.0,2019.0,44622516.0,-0.47,15.81,16.43,112154.0,2.5,8.6,5.0,6.7,76.72,66.69,,,80.0,1.0,8.8,,,3.0,2513.3948072313983,71.705,49.4871968,31.2718321,Europe
Ethiopia,134,38,100.0,74.0,119.0,106.0,53.0,99.0,135.0,115.0,2019.0,109224559.0,2.62,40.78,3.5,75605.0,11.1,5.4,4.7,4.0,68.17,64.35,,,151.0,1.0,45.8,,,0.1,692.1978050742233,66.25999999999999,10.2116702,38.6521203,Africa
Swaziland,135,104,26.0,57.0,103.0,113.0,41.0,145.0,96.0,,2019.0,69428524.0,0.32,17.09,11.9,455303.0,3.9,1.4,4.1,3.7,80.7,73.23,,,153.0,1.1,10.1,,,0.8,6557.866619777197,76.965,-26.5624806,31.3991317,Africa
Uganda,136,148,91.0,139.0,114.0,99.0,95.0,74.0,136.0,127.0,2019.0,42723139.0,3.72,46.93,1.94,27699.0,5.0,2.3,2.6,6.2,65.17,60.66,,,200.0,5.7,59.0,,,0.1,648.337192639333,62.915,1.5333554,32.2166578,Africa
Egypt,137,66,146.0,124.0,118.0,129.0,89.0,132.0,85.0,101.0,2019.0,98423595.0,2.03,33.8,5.23,195136.0,4.2,11.6,4.496969696969698,4.6,74.16,69.6,,,12.0,0.1,18.9,,,0.8,1982.614026646761,71.88,26.2540493,29.2675469,Africa
Zambia,138,145,84.0,128.0,115.0,73.0,69.0,53.0,115.0,131.0,2019.0,17351822.0,2.91,44.94,2.1,25868.0,3.5,7.8,4.496969696969698,4.5,66.45,60.53,,,346.0,11.3,53.3,,,0.1,1490.7944537467015,63.49,-14.5189121,27.5589884,Africa
Togo,139,103,123.0,147.0,149.0,120.0,72.0,131.0,142.0,132.0,2019.0,7889094.0,2.45,41.33,2.87,4786.0,4.4,1.8,5.1,6.6,61.61,59.89,,,36.0,2.3,55.7,,,0.0,606.6602831706657,60.75,8.7800265,1.0199765,Africa
India,140,41,93.0,115.0,142.0,41.0,73.0,65.0,103.0,105.0,2019.0,1352617328.0,1.04,27.05,6.18,2575667.0,6.7,3.5,3.8,3.6,70.69,68.24,,,199.0,,39.1,,,0.8,1904.2096731145825,69.465,22.3511148,78.6677428,Asia
Liberia,141,156,103.0,146.0,127.0,94.0,126.0,110.0,150.0,126.0,2019.0,4818977.0,2.45,41.12,3.25,2763.0,2.5,2.4,3.8,9.6,65.11,62.35,,,308.0,1.3,60.1,,,0.0,573.3582044487865,63.730000000000004,5.7499721,-9.3658524,Africa
Comoros,142,143,67.0,114.0,143.0,148.0,81.0,62.0,143.0,117.0,2019.0,832322.0,2.24,39.54,3.01,1082.0,3.4,4.3,4.3,7.6,65.9,62.4,,,35.0,0.1,58.1,,,0.2,1299.9776528795346,64.15,-12.2045176,44.2832964,Africa
Madagascar,143,77,46.0,96.0,128.0,146.0,116.0,136.0,144.0,111.0,2019.0,26262368.0,2.67,40.67,2.99,13208.0,1.2,1.8,2.8,6.0,68.3,65.08,,,233.0,0.3,36.8,,,0.2,502.9249456865428,66.69,-18.9249604,46.4416422,Africa
Lesotho,144,150,72.0,64.0,98.0,97.0,59.0,151.0,124.0,149.0,2019.0,2108132.0,0.8,32.72,4.9,2632.0,-1.6,28.2,6.4,8.1,56.95,50.58,,,611.0,23.6,65.4,,,1.8122448979591843,1248.4986708612175,53.765,-29.6039267,28.3350193,Africa
Burundi,145,138,98.0,126.0,152.0,135.0,23.0,149.0,151.0,135.0,2019.0,11175378.0,3.17,45.5,2.25,3155.0,0.0,1.5,4.3,7.7,63.03,59.44,,,111.0,1.0,52.3,,,0.0,282.3170724068573,61.235,-3.426449,29.9324519,Africa
Zimbabwe,146,123,63.0,34.0,110.0,96.0,63.0,141.0,131.0,129.0,2019.0,14439018.0,1.41,42.4,2.94,18037.0,3.0,5.0,7.5,9.4,62.6,59.5,,,210.0,12.7,51.2,,,0.1,1249.1846744702443,61.05,-18.4554963,29.7468414,Africa
Haiti,147,111,142.0,119.0,146.0,152.0,48.0,20.0,138.0,125.0,2019.0,11123176.0,1.27,33.24,4.95,8521.0,1.2,13.8,2.4,5.4,65.83,61.5,,,176.0,2.0,61.0,,,0.2,766.0581833821564,63.665,19.1399952,-72.3570972,North America
Botswana,148,125,87.0,65.0,105.0,60.0,54.0,150.0,66.0,113.0,2019.0,2254126.0,2.2,34.11,4.22,17407.0,2.4,17.8,4.496969696969698,5.5,72.05,66.2,,,275.0,20.3,35.5,,,0.4,7722.283492582047,69.125,-23.1681782,24.5928742,Africa
Syria,149,137,155.0,155.0,154.0,153.0,38.0,69.0,76.5,128.0,2019.0,6982604.0,-0.55,15.69,18.35,41590.0,2.0,12.2,3.9,9.1,78.1,73.1,,,17.0,0.1,6.1,,,3.1,5956.230655497577,75.6,34.6401861,39.0494106,Asia
Malawi,150,132,129.0,110.0,150.0,65.0,64.0,109.0,147.0,119.0,2019.0,18143315.0,2.64,43.9,2.65,6339.0,5.1,6.0,4.0,9.8,66.94,60.65,,,181.0,9.2,52.6,,,0.0,349.38488363344845,63.795,-13.2687204,33.9301963,Africa
Yemen,151,85,153.0,75.0,100.0,147.0,83.0,155.0,141.0,124.0,2019.0,28498687.0,2.36,39.61,2.88,27957.0,-5.9,14.0,4.496969696969698,5.6,67.8,64.42,,,48.0,0.1,43.3,,,0.3,980.9925629205303,66.11,16.3471243,47.8915271,Asia
Rwanda,152,63,54.0,102.0,144.0,21.0,2.0,90.0,132.0,103.0,2019.0,12301939.0,2.64,39.98,2.94,9136.0,6.1,1.4,3.2,6.8,70.78,66.52,,,59.0,2.5,39.4,,,0.1,742.6471550541748,68.65,-1.9646631,30.0644358,Africa
Tanzania,153,122,78.0,50.0,131.0,78.0,34.0,49.0,125.0,118.0,2019.0,2866376.0,-0.25,17.67,13.74,13039.0,3.8,15.1,4.0,6.7,80.17,76.82,,,18.0,,9.2,,,1.2,4548.94961442602,78.495,-6.5247123,35.7878438,Africa
Afghanistan,154,25,152.0,133.0,151.0,155.0,136.0,137.0,134.0,139.0,2019.0,37172386.0,2.38,43.09,2.58,21993.0,2.5,8.8,3.9,10.2,66.03,63.05,,,189.0,0.1,60.1,,,0.3,591.6488653701165,64.53999999999999,33.7680065,66.2385139,Asia
Central African Republic,155,117,132.0,153.0,155.0,133.0,122.0,113.0,152.0,150.0,2019.0,4666377.0,1.52,44.29,2.83,1993.0,4.3,5.6,1.2,4.3,54.99,50.65,,,540.0,3.6,90.3,,,0.1,427.09793915065154,52.82,7.0323598,19.9981227,Africa
South Sudan,156,140,127.0,152.0,148.0,154.0,61.0,85.0,140.0,143.0,2019.0,10975920.0,0.6,41.82,3.4,5694.0,1.3,11.5,1.0,6.804666666666668,59.14,56.12,,,146.0,2.5,65.8,,,1.8122448979591843,518.7720027113901,57.629999999999995,7.8699431,29.6667897,Africa
